customer_id,name,age,sum_cost
1,Customer 1,22,205.03434067709424
2,Customer 2,21,209.42302523387997
3,Customer 3,27,135.33344209003974
4,Customer 4,20,173.7802768108344
5,Customer 5,21,149.6132127571306
6,Customer 6,21,308.3774518407945
7,Customer 7,23,343.528458646535
8,Customer 8,26,161.64506447708487
9,Customer 9,23,244.40941579946912
10,Customer 10,18,83.83538636766093
11,Customer 11,24,269.06510077146635
12,Customer 12,32,135.76393443272607
13,Customer 13,24,195.69409306881678
14,Customer 14,20,286.8516959223154
15,Customer 15,19,191.30504050885625
16,Customer 16,32,157.0350496753543
17,Customer 17,26,257.20099275924423
18,Customer 18,26,141.43136102607784
19,Customer 19,16,153.06965807016596
20,Customer 20,22,168.80946818495187
21,Customer 21,25,193.13035457504762
22,Customer 22,26,218.96159447930538
23,Customer 23,22,178.99410665128704
24,Customer 24,23,197.0808611607825
25,Customer 25,23,347.7115445043661
26,Customer 26,20,267.6715957749573
27,Customer 27,26,264.512248907958
28,Customer 28,25,158.91016162443964
29,Customer 29,24,259.40919984848574
30,Customer 30,25,326.8723152856195
31,Customer 31,27,225.5321206723712
32,Customer 32,18,120.30777927682192
33,Customer 33,18,258.53685355484896
34,Customer 34,22,104.34698425870525
35,Customer 35,25,231.95680245784507
36,Customer 36,22,216.80196604740263
37,Customer 37,21,234.81536269617408
38,Customer 38,29,160.81180462656505
39,Customer 39,19,225.17302691955015
40,Customer 40,30,227.62957615528813
41,Customer 41,32,229.60777732134298
42,Customer 42,25,111.20127289290592
43,Customer 43,22,125.97751923771253
44,Customer 44,21,222.87890526332646
45,Customer 45,20,309.5907988736338
46,Customer 46,23,311.63948838246046
47,Customer 47,26,249.06073123811217
48,Customer 48,17,174.1854246448453
49,Customer 49,19,164.64331877386385
50,Customer 50,28,236.51146046446354
51,Customer 51,24,206.33079320946226
52,Customer 52,28,233.7870600690007
53,Customer 53,19,264.0567651113717
54,Customer 54,25,265.48078314922094
55,Customer 55,32,173.2341306486657
56,Customer 56,21,197.6140560450644
57,Customer 57,22,170.97933221941352
58,Customer 58,15,208.11491115336202
59,Customer 59,17,154.7654560493027
60,Customer 60,25,243.2962073652302
61,Customer 61,22,277.74574489287943
62,Customer 62,21,240.79998751130256
63,Customer 63,22,288.349927280253
64,Customer 64,27,200.86668800850035
65,Customer 65,19,292.7371113770885
66,Customer 66,24,164.1313164316172
67,Customer 67,26,315.15928606300963
68,Customer 68,26,190.849093184706
69,Customer 69,19,272.17144717035137
70,Customer 70,22,273.11471791080874
71,Customer 71,25,234.46983308326043
72,Customer 72,22,217.6358415172922
73,Customer 73,18,165.7488281886773
74,Customer 74,24,299.2545598124777
75,Customer 75,23,230.71759441315467
76,Customer 76,22,187.38169852847406
77,Customer 77,15,247.2805566408243
78,Customer 78,24,142.3538650116981
79,Customer 79,20,123.77335197518377
80,Customer 80,15,124.62048709968526
81,Customer 81,28,209.3421482987032
82,Customer 82,15,208.7186328207624
83,Customer 83,23,117.46056969796835
84,Customer 84,28,240.77014014061348
85,Customer 85,29,158.5348170014878
86,Customer 86,21,211.2240373888863
87,Customer 87,29,158.5978875833604
88,Customer 88,16,170.66758816110448
89,Customer 89,19,214.65536696012418
90,Customer 90,24,106.70514238569294
91,Customer 91,21,233.59585722996167
92,Customer 92,16,158.7414619206949
93,Customer 93,19,172.4500103912152
94,Customer 94,26,140.2503598158447
95,Customer 95,29,158.10435413958825
96,Customer 96,27,203.4195476596087
97,Customer 97,32,252.8971324286587
98,Customer 98,26,238.91222594805282
99,Customer 99,22,121.2360155277152
100,Customer 100,23,201.1010733857701
101,Customer 101,24,95.82841869141134
102,Customer 102,22,212.48366640647214
103,Customer 103,31,171.0660300418499
104,Customer 104,17,265.8455836482255
105,Customer 105,18,155.423156355676
106,Customer 106,22,151.8607192309453
107,Customer 107,24,188.03343693103523
108,Customer 108,25,104.03211396680494
109,Customer 109,20,311.92651471298603
110,Customer 110,28,182.5092852350056
111,Customer 111,22,190.6350673444831
112,Customer 112,31,286.9920956985128
113,Customer 113,22,237.4800267396359
114,Customer 114,22,196.52054613321346
115,Customer 115,26,105.11471115611556
116,Customer 116,15,307.49799124654976
117,Customer 117,22,416.8136742812492
118,Customer 118,26,155.96535826382856
119,Customer 119,24,205.9299580265184
120,Customer 120,27,199.9973164155148
121,Customer 121,32,150.68802439466444
122,Customer 122,17,160.893507771457
123,Customer 123,26,201.68751730370278
124,Customer 124,19,227.39185606999163
125,Customer 125,22,229.92679814688236
126,Customer 126,24,91.92640557757137
127,Customer 127,15,200.06590964546626
128,Customer 128,22,211.09442178369804
129,Customer 129,19,227.50817645164517
130,Customer 130,19,164.45046420413618
131,Customer 131,21,153.2337509607839
132,Customer 132,32,193.94238358346294
133,Customer 133,22,240.74380418454558
134,Customer 134,22,164.9104825922921
135,Customer 135,27,325.64078615375246
136,Customer 136,26,257.09844646060003
137,Customer 137,23,250.8173464771417
138,Customer 138,27,164.41378766185343
139,Customer 139,26,122.76405000228557
140,Customer 140,23,301.90953806535543
141,Customer 141,20,261.3555098803336
142,Customer 142,27,167.64809366872637
143,Customer 143,29,208.73550587889497
144,Customer 144,22,199.48823575852586
145,Customer 145,27,169.59656027052816
146,Customer 146,24,194.51437469340243
147,Customer 147,16,196.74593528857633
148,Customer 148,20,170.7188078479426
149,Customer 149,15,158.82582005334513
150,Customer 150,21,400.4207740604829
151,Customer 151,24,215.43351654988578
152,Customer 152,20,177.93068569045076
153,Customer 153,21,216.0498377081162
154,Customer 154,24,266.84391186699105
155,Customer 155,19,227.2254964248714
156,Customer 156,18,214.2483359352753
157,Customer 157,30,198.3308309572141
158,Customer 158,22,115.54625407396352
159,Customer 159,19,189.53994805546893
160,Customer 160,20,296.96037397020336
161,Customer 161,22,174.60470881631556
162,Customer 162,24,208.7415607337519
163,Customer 163,22,258.12565594470107
164,Customer 164,21,192.78158885436937
165,Customer 165,18,257.35588357645787
166,Customer 166,21,258.2916323247012
167,Customer 167,21,140.98406667389202
168,Customer 168,20,350.31248827663546
169,Customer 169,25,200.13215994658339
170,Customer 170,21,241.33975053628873
171,Customer 171,28,193.91811847979653
172,Customer 172,18,327.5563210446128
173,Customer 173,23,221.03512668547503
174,Customer 174,26,214.75317673678404
175,Customer 175,21,350.95780225637316
176,Customer 176,19,282.52933784567347
177,Customer 177,27,176.98776439884278
178,Customer 178,24,335.25924647632587
179,Customer 179,21,211.7136251503226
180,Customer 180,22,194.63184318766312
181,Customer 181,26,232.78937140625956
182,Customer 182,22,284.751413506781
183,Customer 183,24,173.55583848795686
184,Customer 184,24,244.9717390432971
185,Customer 185,15,276.9731524938966
186,Customer 186,22,135.26280184576197
187,Customer 187,22,260.20966470028264
188,Customer 188,25,145.91060290074782
189,Customer 189,25,279.64345128564776
190,Customer 190,21,220.2199705980231
191,Customer 191,22,168.4204342012505
192,Customer 192,30,349.9920035630794
193,Customer 193,28,149.11150916410105
194,Customer 194,15,224.57688868435335
195,Customer 195,26,140.7597940319701
196,Customer 196,30,300.2407443029981
197,Customer 197,20,158.28937592602236
198,Customer 198,28,371.0582663040099
199,Customer 199,17,240.37077559134076
200,Customer 200,27,138.76513447135187
201,Customer 201,27,227.47584761745648
202,Customer 202,20,221.18294918380482
203,Customer 203,23,250.42729097390833
204,Customer 204,21,178.85224597320658
205,Customer 205,21,254.97138142235426
206,Customer 206,17,209.7017011441905
207,Customer 207,26,188.0396131908929
208,Customer 208,28,217.06726819165604
209,Customer 209,27,206.77167939541312
210,Customer 210,25,194.27967654661438
211,Customer 211,19,180.97908631447842
212,Customer 212,20,271.8547369488947
213,Customer 213,23,236.19823778516556
214,Customer 214,23,159.0913849504756
215,Customer 215,18,118.39073100765211
216,Customer 216,25,351.1747065001524
217,Customer 217,26,159.35612741001668
218,Customer 218,25,270.83292311844355
219,Customer 219,22,112.24898665207623
220,Customer 220,27,263.86765730080504
221,Customer 221,17,155.52562400296696
222,Customer 222,26,188.1767053968571
223,Customer 223,29,230.98947337458944
224,Customer 224,25,166.21186012565022
225,Customer 225,16,230.34688827314326
226,Customer 226,22,144.09992599469
227,Customer 227,23,267.63481427665545
228,Customer 228,20,267.3707095504852
229,Customer 229,22,218.26445255137432
230,Customer 230,28,324.57800553966536
231,Customer 231,25,239.63952086342482
232,Customer 232,22,183.23237125632062
233,Customer 233,21,140.1127465189299
234,Customer 234,23,231.1637253628971
235,Customer 235,23,159.210124276542
236,Customer 236,31,83.51286530122478
237,Customer 237,28,197.01041636611686
238,Customer 238,21,223.23181691968665
239,Customer 239,24,135.6598707416749
240,Customer 240,26,202.39197271587526
241,Customer 241,30,305.503031265079
242,Customer 242,28,131.8077992790654
243,Customer 243,16,207.51288099202407
244,Customer 244,22,174.87073888434298
245,Customer 245,26,311.7736684242917
246,Customer 246,19,95.94886168469674
247,Customer 247,18,215.4331664014562
248,Customer 248,24,271.29388146734027
249,Customer 249,26,241.73094438008712
250,Customer 250,27,172.5519134526087
251,Customer 251,18,93.60834408770856
252,Customer 252,23,94.40404543350162
253,Customer 253,27,147.83584576833934
254,Customer 254,22,267.3990505766042
255,Customer 255,22,82.66806172580606
256,Customer 256,28,126.06338224101628
257,Customer 257,20,214.60743632860886
258,Customer 258,21,101.9205012824823
259,Customer 259,24,174.59485716836198
260,Customer 260,25,247.3901797789614
261,Customer 261,21,280.0041559932399
262,Customer 262,21,165.53549224593036
263,Customer 263,20,89.84353415606876
264,Customer 264,18,163.687680946574
